OCCP - 1 Digit Level,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
"2409, NSW",70,32,14,38,22,15,24,49,4,0,759,1027
"2410, NSW",50,9,3,12,11,3,10,21,3,0,156,281
"2411, NSW",26,7,0,0,8,6,5,17,0,0,55,121
"2415, NSW",34,17,25,10,10,5,19,24,6,0,228,390
"2420, NSW",243,216,273,169,180,118,145,209,15,7,2453,4022
"2421, NSW",161,146,151,72,116,61,87,93,8,11,926,1831
"2422, NSW",397,254,267,194,174,160,195,261,12,17,3411,5334
"2423, NSW",154,125,183,124,98,100,95,147,10,12,1899,2959
"2424, NSW",33,17,11,10,19,8,12,27,0,5,284,429
"2425, NSW",133,80,120,74,91,55,78,90,6,3,1036,1782
"2426, NSW",38,22,41,33,21,24,25,35,0,10,468,719
"2427, NSW",90,131,103,118,85,84,51,106,0,9,2331,3113
"2428, NSW",797,1260,1111,998,816,998,333,932,61,81,16629,24012
"2429, NSW",522,485,511,447,365,342,272,576,26,55,6121,9715
"2430, NSW",1216,2087,1609,1487,1342,1490,700,1499,74,85,22437,34017
"2431, NSW",193,229,240,208,197,178,84,232,21,14,3542,5133
"2439, NSW",106,168,176,135,129,106,81,113,4,3,1912,2941
"2440, NSW",813,1029,993,1101,791,755,527,1036,69,97,14610,21816
"2441, NSW",245,270,266,197,169,112,136,231,20,14,2699,4349
"2443, NSW",266,374,393,348,258,260,183,360,20,27,6402,8892
"2444, NSW",1957,3932,2492,2360,2476,2055,769,1706,137,108,28299,46289
"2445, NSW",281,532,413,325,314,252,142,255,24,17,3926,6464
"2446, NSW",625,768,824,622,693,551,425,604,39,47,8126,13330
"2447, NSW",333,388,383,327,272,230,205,364,26,15,4632,7180
"2448, NSW",297,460,411,406,309,233,146,397,33,25,6293,9002
"2449, NSW",99,103,90,132,56,59,52,89,0,7,1489,2188
"2450, NSW",2173,3508,2411,2173,2399,2016,933,2073,170,147,25899,43896
"2452, NSW",550,1074,817,845,806,742,363,716,46,42,9112,15119
"2453, NSW",286,121,124,104,100,60,79,188,11,9,1691,2771
"2454, NSW",386,752,429,381,300,246,147,318,29,17,4586,7571
"2455, NSW",111,202,157,125,119,96,89,161,9,4,1928,3001
"2456, NSW",830,1005,822,680,687,473,325,980,52,54,8850,14749
"2460, NSW",1146,1544,1425,1518,1368,1125,826,1291,83,95,18789,29212
"2462, NSW",131,91,131,121,90,106,80,99,9,15,1568,2443
"2463, NSW",300,422,376,337,304,296,194,352,24,21,4921,7541
"2464, NSW",262,465,364,291,244,218,86,256,17,16,4506,6740
"2465, NSW",16,11,25,15,9,9,13,14,0,0,172,292
"2466, NSW",41,46,58,53,21,55,20,77,7,6,1342,1725
"2469, NSW",310,144,129,122,112,72,118,249,10,15,2721,4009
"2470, NSW",616,600,679,636,653,539,457,1237,48,54,9701,15225
"2471, NSW",148,95,131,107,116,87,89,169,13,4,1558,2522
